ColumnHeader,Measurement,Gravels,Stones,Treatment,Depth,Column,Block,Sensor,Units,Summary,MUX,Port
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(35,5)",Period,Shallow,VeryStony,F,D3,9,2,S_35,uSec,Samp,2,11
"CS650(35,6)",VoltageRatio,Shallow,VeryStony,F,D3,9,2,S_35,-,Samp,2,11
"CS650(36,1)",VolumetricWaterContent,Shallow,VeryStony,F,D4,9,2,S_36,mm3/mm3,Samp,2,12
"CS650(36,2)",ElectricalConductivity,Shallow,VeryStony,F,D4,9,2,S_36,dS/m,Samp,2,12
"CS650(36,3)",Temperature,Shallow,VeryStony,F,D4,9,2,S_36,oC,Samp,2,12
"CS650(36,4)",Permittivity,Shallow,VeryStony,F,D4,9,2,S_36,-,Samp,2,12
"CS650(36,5)",Period,Shallow,VeryStony,F,D4,9,2,S_36,uSec,Samp,2,12
"CS650(36,6)",VoltageRatio,Shallow,VeryStony,F,D4,9,2,S_36,-,Samp,2,12
"CS650(37,1)",VolumetricWaterContent,Deep,StoneFree,A,D1,10,2,S_37,mm3/mm3,Samp,2,13
"CS650(37,2)",ElectricalConductivity,Deep,StoneFree,A,D1,10,2,S_37,dS/m,Samp,2,13
"CS650(37,3)",Temperature,Deep,StoneFree,A,D1,10,2,S_37,oC,Samp,2,13
"CS650(37,4)",Permittivity,Deep,StoneFree,A,D1,10,2,S_37,-,Samp,2,13
"CS650(37,5)",Period,Deep,StoneFree,A,D1,10,2,S_37,uSec,Samp,2,13
"CS650(37,6)",VoltageRatio,Deep,StoneFree,A,D1,10,2,S_37,-,Samp,2,13
"CS650(38,1)",VolumetricWaterContent,Deep,StoneFree,A,D2,10,2,S_38,mm3/mm3,Samp,2,14
"CS650(38,2)",ElectricalConductivity,Deep,StoneFree,A,D2,10,2,S_38,dS/m,Samp,2,14
"CS650(38,3)",Temperature,Deep,StoneFree,A,D2,10,2,S_38,oC,Samp,2,14
"CS650(38,4)",Permittivity,Deep,StoneFree,A,D2,10,2,S_38,-,Samp,2,14
"CS650(38,5)",Period,Deep,StoneFree,A,D2,10,2,S_38,uSec,Samp,2,14
